Ticker,ATR,Reason,Side,ATR(x),ATR Used,Risk,Position,Position(R),Entry Price,STOP LOSS PRICE,Exit Price,Entry Date,Exit Date,Realized R,Realized gains,Curncy,,Day 2 Date,Day 2 High,Day 2 Low,Day 2 Open,Day 2 Close,Day 3 Date,Day 3 High,Day 3 low,Day 3 open,Day 3 close,Day 4 Date,Day 4 High,Day 4 low,Day 4 open,Day 4 close,Day 5 Date,Day 5 High,Day 5 low,Day 5 open,Day 5 close
BITC-U CN Equity,1.2,DEAL,long,1,1.2,6000,5000,5047,12.76,11.56,16.34,01/27/2021,02/25/2021,3.01,18058.17,CAD,,1/28/2021,12.75,12.75,12.5,12.65,1/29/2021,14.52,14.52,14.1,12.9,2/1/2021,13.48,13.48,13.3,13.21,2/2/2021,13.75,13.75,13.48,13.69
ARKK US Equity,4.83,AH+,long,2,9.65,2000,207.25,208,131.16,121.51,129.51,01/07/2021,02/25/2021,-0.17,-343.2,USD,,1/8/2021,145.64,145.64,142.03,142.48,1/11/2021,140.63,140.63,140.25,138.22,1/12/2021,141.66,141.66,140.18,140.99,1/13/2021,143.5,143.5,141.93,141.72
GEVO US Equity,1.83,RH+,long,2,3.66,2000,545.85,546,13.43,9.77,14.14,01/25/2021,02/11/2021,0.19,387.11,USD,,1/26/2021,13.62,13.62,13.03,12.67,1/27/2021,14.25,14.25,11.28,11.73,1/28/2021,12.25,12.25,12.24,11.09,1/29/2021,11.4,11.4,11.05,10.16
SAVA US Equity,11.61,reduce,short,4,46.44,2000,43.07,43,100.99,147.43,114,02/04/2021,02/04/2021,-0.28,-559.43,USD,,2/5/2021,64.83,64.83,54.02,44.8,2/8/2021,69,69,52.11,60.67,2/9/2021,65.72,65.72,57.79,57.56,2/10/2021,52.67,52.67,52.355,49.29
THCB US Equity,1.71,reduce,long,2,3.42,2000,584.8,600,22.1,18.68,20.29,02/01/2021,02/01/2021,-0.54,-1086.12,USD,,2/2/2021,23.7591,23.7591,22.75,21.4,2/3/2021,23,23,21.67,21.38,2/4/2021,22,22,21.95,21.82,2/5/2021,22.98,22.98,21.83,21.99
AG US Equity,1.47,reduce,long,2,2.94,2000,680.27,500,23.59,20.65,22.23,02/01/2021,02/01/2021,-0.34,-682,USD,,2/2/2021,18.35,18.35,18.16,16.76,2/3/2021,17.2701,17.2701,17.04,16.38,2/4/2021,16.45,16.45,15.23,16.11,2/5/2021,16.72,16.72,16.4,16.5
AG US Equity,1.47,TA,short,1.5,2.2,2000,910.13,1000,24,26.2,23.59,02/01/2021,02/01/2021,0.21,410,USD,,2/2/2021,18.35,18.35,18.16,16.76,2/3/2021,17.2701,17.2701,17.04,16.38,2/4/2021,16.45,16.45,15.23,16.11,2/5/2021,16.72,16.72,16.4,16.5
CTIB US Equity,0.21,,long,3,0.63,1200,1904.76,1905,3.95,3.32,4.13,02/23/2021,02/23/2021,0.28,335.85,USD,,2/24/2021,3.11,3.11,2.75,3.06,2/25/2021,2.93,2.93,2.89,2.5,2/26/2021,2.67,2.67,2.54,2.52,3/1/2021,2.52,2.52,2.5,2.49
GTEC US Equity,0.51,Partnership,long,2,1.03,1200,1167.68,778,22,20.97,23.46,02/18/2021,02/18/2021,0.94,1132.77,USD,,2/19/2021,14.3,14.3,13.61,12.94,2/22/2021,13.55,13.55,12.7,13,2/23/2021,12.25,12.25,11.85,12.23,2/24/2021,13.5,13.5,12.38,13.34
GTEC US Equity,2.3,x2,long,2,4.59,1200,261.23,261,25.51,20.92,20.83,02/18/2021,02/18/2021,-1.02,-1222,USD,,2/19/2021,14.3,14.3,13.61,12.94,2/22/2021,13.55,13.55,12.7,13,2/23/2021,12.25,12.25,11.85,12.23,2/24/2021,13.5,13.5,12.38,13.34
ALTU US Equity,0.24,SPAC,short,2,0.48,1200,2526.32,2526,12.18,12.65,11.92,02/18/2021,02/18/2021,0.54,644.89,USD,,2/19/2021,13.94,13.94,12.74,13.53,2/22/2021,14.54,14.54,14.18,13.14,2/23/2021,12.7,12.7,12,12.01,2/24/2021,12.4734,12.4734,12.25,12.05
IMNM US Equity,5.76,,short,1,5.76,1200,208.33,140,50.1,55.86,41.93,02/18/2021,02/18/2021,0.95,1143.9,USD,,2/19/2021,47.9,47.9,39.89,38,2/22/2021,36.7645,36.7645,36.5,31.2,2/23/2021,30,30,29.64,28.51,2/24/2021,48.7,48.7,28.4,43.24
VIOT US Equity,1.73,No news,short,2,3.47,1200,346.12,347,18.95,22.42,16.32,02/22/2021,02/22/2021,0.76,912.05,USD,,2/23/2021,14.78,14.78,13.79,13.93,2/24/2021,14.94,14.94,14.165,12.25,2/25/2021,12.51,12.51,12.21,11.24,2/26/2021,11.17,11.17,10.95,10.38
VCNX US Equity,0.34,partnership,long,3,1.03,1200,1168.8,1168,4.86,3.83,7.7,02/19/2021,02/19/2021,2.76,3317.82,USD,,2/22/2021,5.79,5.79,5.5,5.11,2/23/2021,4.46,4.46,4.4505,3.99,2/24/2021,4.63,4.63,4.03,4.22,2/25/2021,4.21,4.21,4.1,3.7
RETO US Equity,0.16,no news,long,3,0.49,1200,2466.55,2466,3.2,2.71,2.75,02/22/2021,02/22/2021,-0.92,-1109.7,USD,,2/23/2021,2.8,2.8,2.61,2.55,2/24/2021,2.36,2.36,2.2,2.31,2/25/2021,2.17,2.17,2.1,1.85,2/26/2021,1.86,1.86,1.8,1.74
CASA US Equity,0.46,results,short,2,0.92,1200,1305.99,1305,10.65,11.57,11.61,02/19/2021,02/19/2021,-1.05,-1255.8,USD,,2/22/2021,11.595,11.595,11,9.74,2/23/2021,9.61,9.61,9.32,9.14,2/24/2021,9.6025,9.6025,9.48,9.12,2/25/2021,9.144,9.144,9.03,8.44
JMP US Equity,0.33,results,short,2,0.66,1200,1827.32,1827,8.85,9.51,8.87,02/19/2021,02/19/2021,-0.03,-38,USD,,2/22/2021,6.4,6.4,6.21,5.93,2/23/2021,5.585,5.585,5.57,5.31,2/24/2021,6.1873,6.1873,5.65,6.1,2/25/2021,6.1368,6.1368,6.11,5.35
IMNM US Equity,2.15,Covid+,short,3,6.46,1200,185.75,278,54.73,61.19,59.34,02/18/2021,02/18/2021,-1.07,-1281.61,USD,,2/19/2021,47.9,47.9,39.89,38,2/22/2021,36.7645,36.7645,36.5,31.2,2/23/2021,30,30,29.64,28.51,2/24/2021,48.7,48.7,28.4,43.24
