Ticker,ATR,Reason,Side,ATR(x),ATR Used,Risk,Position,Position(R),Entry Price,STOP LOSS PRICE,Exit Price,Entry Date,Exit Date,Realized R,Realized gains,Curncy,,Day 2 Date,Day 2 High,Day 2 Low,Day 2 Open,Day 2 Close,Day 3 Date,Day 3 High,Day 3 low,Day 3 open,Day 3 close,Day 4 Date,Day 4 High,Day 4 low,Day 4 open,Day 4 close,Day 5 Date,Day 5 High,Day 5 low,Day 5 open,Day 5 close
PSYK CN Equity,0.55,reduce,long,2.5,1.38,3200,2327.27,2500,12.08,10.71,9.86,02/16/2021,02/23/2021,-1.73,-5545,CAD,,2/17/2021,12.1,12.1,12,11.65,2/18/2021,12,12,12,11.02,2/19/2021,11.3,11.3,11.05,11.25,2/22/2021,11.6,11.6,11.53,11.09
ANET US Equity,6.73,QR+,long,2,13.47,2500,185.61,186,318,304.53,272.83,02/19/2021,02/23/2021,-3.36,-8402.35,USD,,2/22/2021,307.95,307.95,307.59,292.16,2/23/2021,288.84,288.84,278.9,287.08,2/24/2021,289.23,289.23,283.7,286.36,2/25/2021,288.31,288.31,286.85,280.26
IPOE US Equity,2.24,AH+,long,1.5,3.36,2500,744.38,744,22.5,19.14,18.4,01/19/2021,02/23/2021,-1.22,-3050.4,USD,,1/20/2021,24.62,24.62,23.86,22.37,1/21/2021,23.05,23.05,23,22.39,1/22/2021,22.99,22.99,22.09,21.65,1/25/2021,22.85,22.85,22.16,20.48
IPOE US Equity,2.84,x2,long,1,2.84,2000,704.23,704,27.09,24.25,18.4,02/01/2021,02/23/2021,-3.06,-6114.73,USD,,2/2/2021,26.18,26.18,26.01,24.33,2/3/2021,25.75,25.75,24.8,24.95,2/4/2021,25.12,25.12,24.07,25.06,2/5/2021,24.52,24.52,24.29,23.1
BLMN US Equity,0.98,mistake,long,2,1.96,2500,1274.86,300,24.15,22.19,24.74,02/18/2021,02/19/2021,0.07,177,USD,,2/19/2021,25.84,25.84,24.74,24.83,2/22/2021,26.74,26.74,24.68,26,2/23/2021,26.44,26.44,25.86,25.54,2/24/2021,26.65,26.65,25.49,26.51
BABA US Equity,10.1,AH+,long,2,20.2,2500,123.76,123,243.46,223.26,264.51,01/16/2021,02/18/2021,1.04,2589.15,USD,,1/19/2021,252.88,252.88,250,251.65,1/20/2021,269,269,267.5,265.49,1/21/2021,264.6,264.6,264.13,260,1/22/2021,260.33,260.33,256.8,258.62
BLMN US Equity,0.73,GS_puts,short,2,1.45,2500,1722.97,2000,23.16,24.61,24.06,02/12/2021,02/18/2021,-0.72,-1797,USD,,2/16/2021,23.1,23.1,22.83,22.66,2/17/2021,22.7,22.7,22.66,22.47,2/18/2021,24.6,24.6,21.83,24.15,2/19/2021,25.84,25.84,24.74,24.83
FUTU US Equity,17.07,AH+,long,2,34.13,2000,58.59,59,150.28,116.15,171.81,02/09/2021,02/18/2021,0.64,1270.03,USD,,2/10/2021,204.25,204.25,179.81,165.24,2/11/2021,172.9423,172.9423,167.82,157.34,2/12/2021,157.9,157.9,142,147.57,2/16/2021,193.88,193.88,159.49,191
NFLX US Equity,14.63,QR++,long,2,29.25,2500,85.47,86,572.37,543.12,548.22,01/20/2021,02/18/2021,-0.83,-2076.9,USD,,1/21/2021,588.75,588.75,582.45,579.84,1/22/2021,583.99,583.99,582.1,565.17,1/25/2021,569.75,569.75,567,556.78,1/26/2021,567.99,567.99,554.73,561.93
CLOV US Equity,1.36,BR+(citi),long,1,1.36,2000,1474.93,1500,14.31,12.95,11.32,02/02/2021,02/17/2021,-2.24,-4485,USD,,2/3/2021,14.2478,14.2478,14.07,13.95,2/4/2021,13.1,13.1,12.24,12.23,2/5/2021,13.07,13.07,12.53,12.93,2/8/2021,13.13,13.13,13.04,12.37
MA US Equity,8.9,2dt,long,2,17.8,2500,140.42,140,341.33,323.53,337.33,02/12/2021,02/17/2021,-0.22,-560,USD,,2/16/2021,344,344,343.2,341.21,2/17/2021,340.3822,340.3822,339.04,337.33,2/18/2021,339.95,339.95,334.49,338.46,2/19/2021,338.995,338.995,338.44,333.17
SLV US Equity,0.93,SEC+,long,2,1.86,2500,1341.2,1341,26.69,24.83,25.4,02/01/2021,02/17/2021,-0.69,-1734.85,USD,,2/2/2021,25.55,25.55,25.54,24.54,2/3/2021,25.1,25.1,25,24.93,2/4/2021,24.5389,24.5389,24.38,24.48,2/5/2021,25.14,25.14,24.7401,24.95
GSX US Equity,18.58,TA,short,3,55.74,5000,89.7,89,97.01,152.75,108,02/01/2021,02/17/2021,-0.2,-978.11,USD,,2/2/2021,90.88,90.88,90.54,83.46,2/3/2021,87.24,87.24,83.72,85.46,2/4/2021,88.48,88.48,84.24,86.9,2/5/2021,91.7628,91.7628,86.42,89.77
PINS US Equity,4.48,TD-Sequital,short,3,13.45,2500,185.89,186,86.57,100.02,89.15,02/12/2021,02/16/2021,-0.19,-479.88,USD,,2/16/2021,89.9,89.9,86.55,89.15,2/17/2021,87.45,87.45,87.06,86.3,2/18/2021,86.8,86.8,85.31,85.99,2/19/2021,88.29,88.29,87.41,85.9
DIS US Equity,5.07,QR+,short,2,10.14,2000,197.26,200,193.12,203.26,187.09,02/12/2021,02/16/2021,0.6,1206,USD,,2/16/2021,188.44,188.44,187.3,186.35,2/17/2021,187.63,187.63,185.36,186.44,2/18/2021,186.4,186.4,184.79,183,2/19/2021,184.78,184.78,184.27,183.65
ASYS US Equity,0.39,QR+(recon),short,2,0.77,2500,3238.34,3200,10.12,10.89,10.81,02/12/2021,02/12/2021,-0.89,-2212.8,USD,,2/16/2021,11.5,11.5,11.24,11.23,2/17/2021,11.39,11.39,11.05,10.7,2/18/2021,11.03,11.03,11.03,10.56,2/19/2021,11.03,11.03,10.59,10.89
ATVI US Equity,2.18,CIR,long,2,4.36,2500,572.87,573,93.69,89.32,98.43,02/02/2021,02/05/2021,1.09,2716.08,USD,,2/3/2021,94.07,94.07,93.89,92.77,2/4/2021,94.42,94.42,93.35,92.68,2/5/2021,104.2299,104.2299,100.66,101.61,2/8/2021,103.08,103.08,102.05,101.19
AG US Equity,1.97,TA,short,2,3.94,2000,507.1,507,21.47,25.42,16.87,02/01/2021,02/03/2021,1.17,2333.21,USD,,2/2/2021,18.35,18.35,18.16,16.76,2/3/2021,17.2701,17.2701,17.04,16.38,2/4/2021,16.45,16.45,15.23,16.11,2/5/2021,16.72,16.72,16.4,16.5
MU US Equity,2.3,CIR(GS),long,2,4.6,2500,543.48,543,78.06,73.46,81.62,01/07/2021,02/02/2021,0.77,1933.08,USD,,1/8/2021,84.16,84.16,82.54,77.42,1/11/2021,79.7913,79.7913,76.59,78.67,1/12/2021,79.62,79.62,79.19,79.46,1/13/2021,80.39,80.39,78.95,79.91
SPY US Equity,5.13,hedge,short,2,10.25,3000,292.68,293,375.51,385.76,381.5,01/15/2021,02/02/2021,-0.59,-1755.07,USD,,1/19/2021,379.23,379.23,378.34,378.65,1/20/2021,384.79,384.79,381.11,383.89,1/21/2021,384.95,384.95,384.49,384.24,1/22/2021,384.1256,384.1256,382.25,382.88
AYA CN Equity,0.3,AH-,short,2,0.6,2700,4515.05,4500,4.51,5.11,4.48,02/02/2021,02/02/2021,0.05,135,CAD,,2/3/2021,4.47,4.47,4.45,4.31,2/4/2021,4.14,4.14,4.1,4.05,2/5/2021,4.16,4.16,4.11,4.13,2/8/2021,4.45,4.45,4.26,4.32
ROK US Equity,6.13,QR-,short,2,12.26,2500,203.92,206,255.49,267.75,252.52,01/26/2021,02/02/2021,0.24,611.82,USD,,1/27/2021,247.18,247.18,245.91,241.05,1/28/2021,254.375,254.375,245.04,251.2,1/29/2021,255.315,255.315,250,248.53,2/1/2021,252.6,252.6,252.02,247.68
